"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Nie X.; Qiu L.; Wu T.; Yang X.; Li F.; Feng W.; Wang H.","Nie, Xin (56216002300); Qiu, Li (60015928000); Wu, Tianci (57549989300); Yang, Xiaoyu (57327372800); Li, Fengqin (57856307800); Feng, Wenhan (57222580608); Wang, Han (57244723000)","56216002300; 60015928000; 57549989300; 57327372800; 57856307800; 57222580608; 57244723000","Institutional pathways for enhancing villagers’ participation in rural human settlement governance amid collective action dilemmas: using NCA and fsQCA approaches","2025","Environmental Research Communications","7","7","075024","","","3","10.1088/2515-7620/adf0ce","https://www.scopus.com/pages/publications/105011742773?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105011742773"
"Yıldız T.; Balkan Akan B.; Sığrı Ü.; Dabić M.","Yıldız, Tayfun (57212227428); Balkan Akan, Betül (58668215600); Sığrı, Ünsal (15760936900); Dabić, Marina (6507123949)","57212227428; 58668215600; 15760936900; 6507123949","Impact of knowledge-sharing culture on organizational creativity: integrating explicit and tacit knowledge sharing as mediators","2025","Journal of Knowledge Management","29","4","","1248","1277","9","10.1108/JKM-05-2024-0633","https://www.scopus.com/pages/publications/105001420163?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105001420163"
"Zhao H.; Yang Y.; Chen Y.; Yu H.; Chen Z.; Yang Z.","Zhao, Hongkun (58209638300); Yang, Yaofeng (57225056980); Chen, Yajuan (56052692700); Yu, Huyang (58209200300); Chen, Zhuo (58220515300); Yang, Zhenwei (58209200200)","58209638300; 57225056980; 56052692700; 58209200300; 58220515300; 58209200200","Configuration analysis of crop-pollination service management: a novel insight from the theory of planned behavior","2025","PLOS ONE","20","7 July","e0326226","","","0","10.1371/journal.pone.0326226","https://www.scopus.com/pages/publications/105010567606?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105010567606"
"Wijesinghe U.; Mapitiyage V.; Wickramarathne C.; Wickramage C.; Wisenthige K.; Aluthwala C.","Wijesinghe, Uthpala (59544420900); Mapitiyage, Vidara (59544000100); Wickramarathne, Chathurya (60526338000); Wickramage, Chamoda (59544281400); Wisenthige, Krishantha (58245776100); Aluthwala, Chathuni (59184713600)","59544420900; 59544000100; 60526338000; 59544281400; 58245776100; 59184713600","Does management support drive sustained agile usage? a serial mediation model and cIPMA perspective","2025","PLoS ONE","20","2 February","e0316538","","","3","10.1371/journal.pone.0316538","https://www.scopus.com/pages/publications/85217023532?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85217023532"
"Aziz F.; Li C.; Khan A.U.","Aziz, Fazeelat (58577432000); Li, Cai (59936564700); Khan, Asad Ullah (57217985329)","58577432000; 59936564700; 57217985329","Transforming behavioral intention and academic performance: ChatGPT-4.0 insights through SEM, ANN, and cIPMA analysis","2025","Information Development","41","3 Special Issue: “Artificial Intelligence initiatives”","","933","956","3","10.1177/02666669251336560","https://www.scopus.com/pages/publications/105007624529?origin=resultslist","Article","Final","","Scopus","2-s2.0-105007624529"
"Shao Z.; Ho J.S.Y.; Phau I.","Shao, Zhucheng (58767869300); Ho, Jessica Sze Yin (57345934400); Phau, Ian (8508239600)","58767869300; 57345934400; 8508239600","Unpacking Consumer Resistance Toward Virtual Streamers: Asymmetric Effects of Innovation Barriers in Live Streaming Commerce","2026","Journal of Consumer Behaviour","","","","","","0","10.1002/cb.70122","https://www.scopus.com/pages/publications/105029087491?origin=resultslist","Article","Article in press","","Scopus","2-s2.0-105029087491"
"Erdmann A.; Toro-Dupouy L.","Erdmann, Anett (57219536013); Toro-Dupouy, Luis (57200001474)","57219536013; 57200001474","The influence of the institutional environment on AI adoption in universities: identifying value drivers and necessary conditions","2025","European Journal of Innovation Management","28","9","","4365","4398","18","10.1108/EJIM-04-2024-0407","https://www.scopus.com/pages/publications/86000442520?origin=resultslist","Article","Final","","Scopus","2-s2.0-86000442520"
"Li G.; Zhu M.X.; Kong S.","Li, Guo (59510820200); Zhu, Mark Xuefang (57216124734); Kong, Shanshan (60112047400)","59510820200; 57216124734; 60112047400","The effectiveness of smart knowledge services in libraries in Chinese Mainland: a mixed methods study","2025","Electronic Library","","","","","","0","10.1108/EL-03-2025-0104","https://www.scopus.com/pages/publications/105016893870?origin=resultslist","Article","Article in press","","Scopus","2-s2.0-105016893870"
"Budak M.C.","Budak, Muhammed Cagri (57224546917)","57224546917","Beyond intention: Investigating the dynamics of AI tool usage and purchase behavior in scientific research","2026","Information Development","","","","","","0","10.1177/02666669261438768","https://www.scopus.com/pages/publications/105035029398?origin=resultslist","Article","Article in press","","Scopus","2-s2.0-105035029398"
"Pérez-Portabella A.; Arias-Oliva M.; Andrés-Sánchez J.D.; Padilla-Castillo G.","Pérez-Portabella, Antonio (57192430312); Arias-Oliva, Mario (56110956600); Andrés-Sánchez, Jorge de (6507185340); Padilla-Castillo, Graciela (55580259900)","57192430312; 56110956600; 6507185340; 55580259900","Generative Artificial Intelligence and the Editing of Academic Essays: Necessary and Sufficient Ethical Judgments in Its Use by Higher Education Students","2025","Computers","14","11","458","","","0","10.3390/computers14110458","https://www.scopus.com/pages/publications/105023198686?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105023198686"
