"Authors","Author full names","Author(s) ID","Title","Year","Link"
"Moon J.-H.; Lee S.-T.; Lee Y.-K.","Moon, Joon-Ho (59948987400); Lee, Soon-Tae (59948827300); Lee, Yong-Ki (55716182100)","59948987400; 59948827300; 55716182100","Impacts of general agents' customer relationship-building behaviors on trust, satisfaction, and renewal intention: A PLS-SEM and NCA approach","2025","https://www.scopus.com/pages/publications/105008279820?origin=resultslist"
"Huang Y.; Li K.; Li P.","Huang, Yangjie (57218396928); Li, Kexin (57802410000); Li, Ping (57718655000)","57218396928; 57802410000; 57718655000","Innovation ecosystems and national talent competitiveness: A country-based comparison using fsQCA","2023","https://www.scopus.com/pages/publications/85163885297?origin=resultslist"
"Shao Z.; Ho J.S.Y.; Phau I.","Shao, Zhucheng (58767869300); Ho, Jessica Sze Yin (57345934400); Phau, Ian (8508239600)","58767869300; 57345934400; 8508239600","Unpacking Consumer Resistance Toward Virtual Streamers: Asymmetric Effects of Innovation Barriers in Live Streaming Commerce","2026","https://www.scopus.com/pages/publications/105029087491?origin=resultslist"
"Chen K.","Chen, Ke (57218207809)","57218207809","Body, Mind, or Heart? Investigating the Sufficient and Necessary Factors for Robot Acceptance Among Middle-Aged and Older Chinese Adults","2025","https://www.scopus.com/pages/publications/105018685698?origin=resultslist"
"Sun Y.; Wu Y.","Sun, Yonggang (60367030900); Wu, Yinfang (60366601300)","60367030900; 60366601300","The efficacy of artificial intelligence - powered scaffolding in individual acquisition efficiency of EFL in tertiary educational context","2026","https://www.scopus.com/pages/publications/105029134728?origin=resultslist"
"Yuan X.","Yuan, Xianghua (58692718900)","58692718900","Integrating Fintech, CSR, and green finance: impacts on financial and environmental performance in China","2025","https://www.scopus.com/pages/publications/105010629338?origin=resultslist"
"Zhang X.-X.; Hao X.-L.","Zhang, Xi-xi (57212881635); Hao, Xing-lin (57423411800)","57212881635; 57423411800","Linkage mechanism of antecedents for employees' continuous adoption of artificial intelligence virtual assistants","2025","https://www.scopus.com/pages/publications/105012624627?origin=resultslist"
"Tynan M.C.; Credé M.; Harms P.D.","Tynan, Michael C. (57189685492); Credé, Marcus (8342614900); Harms, Peter D. (56059742200)","57189685492; 8342614900; 56059742200","Are individual characteristics and behaviors necessary-but-not-sufficient conditions for academic success?: A demonstration of Dul's (2016) necessary condition analysis","2020","https://www.scopus.com/pages/publications/85076830945?origin=resultslist"
"Mühlbacher H.","Mühlbacher, Hans (6506592308)","6506592308","Komplexe probleme – Einfache lösungen? Plädoyer für qualitative vergleichende analysen in der marketingforschung complex problems – Unique solutions? Need for qualitative comparative analyses in marketing research","2018","https://www.scopus.com/pages/publications/85056988138?origin=resultslist"
"Urban M.; Urban K.","Urban, Marek (57203065076); Urban, Kamila (57200183120)","57203065076; 57200183120","Do We Need Metacognition for Creativity? A Necessary Condition Analysis of Creative Metacognition","2023","https://www.scopus.com/pages/publications/85183426699?origin=resultslist"
"Acquah I.S.K.; Naude M.J.; Oguji N.","Acquah, Innocent Senyo Kwasi (57209205986); Naude, Micheline Juliana (55998322300); Oguji, Nnamdi (57188832598)","57209205986; 55998322300; 57188832598","Harnessing the dimensions of supply chain collaboration to promote innovation and flexibility in buyer-supplier relationships: Insights from fsQCA and NCA","2025","https://www.scopus.com/pages/publications/105017116951?origin=resultslist"
"Ding H.; Kuvaas B.","Ding, Haien (57892716400); Kuvaas, Bård (55901416400)","57892716400; 55901416400","Exploring the necessary roles of basic psychological needs at work: A necessary condition analysis","2025","https://www.scopus.com/pages/publications/85216983966?origin=resultslist"
"Chen C.-F.; Lu H.-H.; Tsai W.-L.","Chen, Ching-Fu (14832325400); Lu, Hsiao-Han (57559549300); Tsai, Wei-Lun (59457849400)","14832325400; 57559549300; 59457849400","Investigating the unobserved heterogeneity in passenger satisfaction with Mobility-as-a-Service (MaaS) bundles","2025","https://www.scopus.com/pages/publications/85211014783?origin=resultslist"
"Chang T.; Wu Y.; Deng X.; Wang X.; Yan Y.","Chang, Tengyuan (57200069164); Wu, Yi (59185386500); Deng, Xiaopeng (23388169700); Wang, Xianru (59185536900); Yan, Yangzhi (59184625400)","57200069164; 59185386500; 23388169700; 59185536900; 59184625400","The impact of environmental stimuli on the psychological and behavioral compliance of international construction employees","2024","https://www.scopus.com/pages/publications/85196746980?origin=resultslist"
"Arpaci I.; Al-Sharafi M.A.; Mahmoud M.A.","Arpaci, Ibrahim (35728204400); Al-Sharafi, Mohammed A. (57196477711); Mahmoud, Moamin A. (55247787300)","35728204400; 57196477711; 55247787300","Modeling behavioral intentions for sustainable adoption of autonomous vehicles: Theory, measurement, and predictive insights","2026","https://www.scopus.com/pages/publications/105016789350?origin=resultslist"
"Bajaba S.; Basaad S.","Bajaba, Saleh (57199650445); Basaad, Saad (58482478100)","57199650445; 58482478100","Safeguarding Well-Being Under Exploitative Leaders: The Buffering Effects of Follower Strategies on Perceived Injustice","2025","https://www.scopus.com/pages/publications/105023232429?origin=resultslist"
