"block","condition_label","score_type","n_input","beta","n_replications","mean_effect_size","sd_effect_size","mean_correlation","mean_latent_effect_base_full","mean_latent_effect_condition_full","mean_latent_effect_condition_selected","mean_delta_from_base_full","mean_delta_from_condition_full","mean_delta_from_condition_selected","mean_selection_effect_on_latent_d","mean_x_mean_obs","mean_y_mean_obs","mean_x_sd_obs","mean_y_sd_obs","mean_x_skew_obs","mean_y_skew_obs","mean_x_kurtosis_obs","mean_y_kurtosis_obs","mean_n_used","prop_significant"
"1A_score_construction","baseline_scores","factor",250,0.2,1000,0.124877556158104,0.0423303070968124,0.162212773259898,0.149465401313276,0.149465401313276,0.149465401313276,-0.0245878451551719,-0.0245878451551719,-0.0245878451551719,0,1.19000226783997e-05,7.9569639455047e-05,0.908420137511588,0.908661604916496,0.00137409207787478,0.00423708181154342,2.78795125412047,2.80087870475824,250,0
"1A_score_construction","baseline_scores","sum",250,0.2,1000,0.101238367313437,0.035465573177569,0.162519247034629,0.149465401313276,0.149465401313276,0.149465401313276,-0.0486382576479691,-0.0486382576479691,-0.0486382576479691,0,17.997476,17.996928,4.77978533304293,4.78272654363163,0.000779685519303145,0.00410992796813766,2.49206546056315,2.49780499189962,250,0
"1B_reliability","loading_0.50","sum",250,0.2,1000,0.114581643209971,0.0409011512825177,0.123551788263842,0.149465401313276,0.149465401313276,0.149465401313276,-0.0348127231032377,-0.0348127231032377,-0.0348127231032377,0,17.989268,17.996832,3.88218119301861,3.88536270122198,0.00254787802228738,0.0023603588818786,2.64870867452026,2.6627140443602,250,0
"1B_reliability","loading_0.70","sum",250,0.2,1000,0.102786676609362,0.0353898111505355,0.159550790297386,0.149465401313276,0.149465401313276,0.149465401313276,-0.0467180625354507,-0.0467180625354507,-0.0467180625354507,0,17.997212,17.997172,4.78382796507501,4.77745650885702,7.32453420297241e-05,0.00189783748909044,2.49745922464352,2.49688634472529,250,0
"1B_reliability","loading_0.85","sum",250,0.2,1000,0.0696921691900662,0.0266583475462128,0.179322347013701,0.149465401313276,0.149465401313276,0.149465401313276,-0.0800571502994489,-0.0800571502994489,-0.0800571502994489,0,18.001544,18.001828,5.52492055753699,5.52074702957102,-0.00200384146403631,0.000367585892399628,2.37925757321992,2.3806664653737,250,0
"1C_response_categories","n_cat_4","sum",250,0.2,1000,0.0699841135809603,0.0278864254399166,0.15820762606107,0.149465401313276,0.149465401313276,0.149465401313276,-0.0803056170538616,-0.0803056170538616,-0.0803056170538616,0,14.996816,14.99824,4.18332414004741,4.17892242991813,0.00131611113413086,0.00181435221362286,2.27306862411085,2.27921422402449,250,0
"1C_response_categories","n_cat_5","sum",250,0.2,1000,0.102181138608337,0.0351988687574398,0.163874932513711,0.149465401313276,0.149465401313276,0.149465401313276,-0.04792471542656,-0.04792471542656,-0.04792471542656,0,18.001108,18.00528,4.78441157808786,4.77775943839035,0.000500548732699212,0.00454061313776465,2.49571450493613,2.492145125424,250,0
"1C_response_categories","n_cat_7","sum",250,0.2,1000,0.134021968855731,0.0465847751907325,0.165139415281328,0.149465401313276,0.149465401313276,0.149465401313276,-0.015574091686615,-0.015574091686615,-0.015574091686615,0,23.998584,23.991192,5.26051188846097,5.25748406034903,0.00451261811263529,0.00067399289837592,2.83108390462649,2.8300935916728,250,0
"1D_threshold_shift","lower_0.50","sum",250,0.2,1000,0.0893589613058677,0.038212000755492,0.160192126007386,0.149465401313276,0.149465401313276,0.149465401313276,-0.060672688446164,-0.060672688446164,-0.060672688446164,0,21.06806,21.069744,4.62650145143379,4.62423675847421,-0.265016235759348,-0.269266203866311,2.54768673869844,2.56344278138262,250,0
"1D_threshold_shift","lower_0.70","sum",250,0.2,1000,0.084733215043305,0.0391184860425718,0.159691630483074,0.149465401313276,0.149465401313276,0.149465401313276,-0.0649697940656222,-0.0649697940656222,-0.0649697940656222,0,22.247124,22.243216,4.47194877322014,4.47312487733793,-0.391835726235517,-0.390554702361767,2.64533500037287,2.6405922950776,250,0
