"rep_id","n_input","beta","n_cat","effect_size_fast","p_value_fast","effect_size_nca","p_value_nca","nca_error"
1,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
2,500,0.4,5,0,1,0,1,NA
3,500,0.4,5,0.0625,0.016983016983017,0.0625,0.011988011988012,NA
4,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
5,500,0.4,5,0.0625,0.00999000999000999,0.0625,0.015984015984016,NA
6,500,0.4,5,0.0625,0.011988011988012,0.0625,0.010989010989011,NA
7,500,0.4,5,0,1,0,1,NA
8,500,0.4,5,0.0625,0.030969030969031,0.0625,0.026973026973027,NA
9,500,0.4,5,0.0625,0.00699300699300699,0.0625,0.00699300699300699,NA
10,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
11,500,0.4,5,0.0625,0.016983016983017,0.0625,0.026973026973027,NA
12,500,0.4,5,0.0625,0.0659340659340659,0.0625,0.0819180819180819,NA
13,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
14,500,0.4,5,0.0625,0.020979020979021,0.0625,0.017982017982018,NA
15,500,0.4,5,0.0625,0.015984015984016,0.0625,0.017982017982018,NA
16,500,0.4,5,0.0625,0.010989010989011,0.0625,0.012987012987013,NA
17,500,0.4,5,0,1,0,1,NA
18,500,0.4,5,0.0625,0.020979020979021,0.0625,0.028971028971029,NA
19,500,0.4,5,0.0625,0.026973026973027,0.0625,0.027972027972028,NA
20,500,0.4,5,0.0625,0.003996003996004,0.0625,0.00599400599400599,NA
21,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
22,500,0.4,5,0.0625,0.012987012987013,0.0625,0.018981018981019,NA
23,500,0.4,5,0.0625,0.035964035964036,0.0625,0.047952047952048,NA
24,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
25,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
26,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
27,500,0.4,5,0.0625,0.041958041958042,0.0625,0.02997002997003,NA
28,500,0.4,5,0.0625,0.022977022977023,0.0625,0.024975024975025,NA
29,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
30,500,0.4,5,0.0625,0.046953046953047,0.0625,0.047952047952048,NA
31,500,0.4,5,0.0625,0.024975024975025,0.0625,0.015984015984016,NA
32,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
33,500,0.4,5,0.0625,0.012987012987013,0.0625,0.011988011988012,NA
34,500,0.4,5,0.0625,0.038961038961039,0.0625,0.028971028971029,NA
35,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
36,500,0.4,5,0.0625,0.010989010989011,0.0625,0.015984015984016,NA
37,500,0.4,5,0.0625,0.035964035964036,0.0625,0.02997002997003,NA
38,500,0.4,5,0.0625,0.026973026973027,0.0625,0.034965034965035,NA
39,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
40,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
41,500,0.4,5,0.0625,0.00999000999000999,0.0625,0.017982017982018,NA
42,500,0.4,5,0.0625,0.014985014985015,0.0625,0.025974025974026,NA
43,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
44,500,0.4,5,0.0625,0.00599400599400599,0.0625,0.00599400599400599,NA
45,500,0.4,5,0.0625,0.00599400599400599,0.0625,0.002997002997003,NA
46,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
47,500,0.4,5,0.0625,0.010989010989011,0.0625,0.011988011988012,NA
48,500,0.4,5,0.0625,0.027972027972028,0.0625,0.030969030969031,NA
49,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
50,500,0.4,5,0,1,0,1,NA
51,500,0.4,5,0.0625,0.028971028971029,0.0625,0.031968031968032,NA
52,500,0.4,5,0,1,0,1,NA
53,500,0.4,5,0.0625,0.023976023976024,0.0625,0.01998001998002,NA
54,500,0.4,5,0.0625,0.0759240759240759,0.0625,0.0569430569430569,NA
55,500,0.4,5,0,1,0,1,NA
56,500,0.4,5,0.0625,0.050949050949051,0.0625,0.032967032967033,NA
57,500,0.4,5,0.0625,0.0639360639360639,0.0625,0.0529470529470529,NA
58,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
59,500,0.4,5,0,1,0,1,NA
60,500,0.4,5,0,1,0,1,NA
61,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
62,500,0.4,5,0.0625,0.016983016983017,0.0625,0.021978021978022,NA
63,500,0.4,5,0.0625,0.013986013986014,0.0625,0.018981018981019,NA
64,500,0.4,5,0.0625,0.0649350649350649,0.0625,0.0669330669330669,NA
65,500,0.4,5,0.0625,0.014985014985015,0.0625,0.015984015984016,NA
66,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
67,500,0.4,5,0.0625,0.00599400599400599,0.0625,0.00699300699300699,NA
68,500,0.4,5,0.0625,0.00699300699300699,0.0625,0.010989010989011,NA
69,500,0.4,5,0.125,0.001,0.125,0.001,NA
70,500,0.4,5,0.0625,0.028971028971029,0.0625,0.015984015984016,NA
71,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
72,500,0.4,5,0.0625,0.023976023976024,0.0625,0.027972027972028,NA
73,500,0.4,5,0,1,0,1,NA
74,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
75,500,0.4,5,0,1,0,1,NA
76,500,0.4,5,0.125,0.001,0.125,0.001,NA
77,500,0.4,5,0,1,0,1,NA
78,500,0.4,5,0.0625,0.013986013986014,0.0625,0.00799200799200799,NA
79,500,0.4,5,0.0625,0.018981018981019,0.0625,0.020979020979021,NA
80,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
81,500,0.4,5,0.0625,0.027972027972028,0.0625,0.037962037962038,NA
82,500,0.4,5,0.0625,0.015984015984016,0.0625,0.017982017982018,NA
83,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
84,500,0.4,5,0.125,0.001,0.125,0.001,NA
85,500,0.4,5,0.0625,0.023976023976024,0.0625,0.035964035964036,NA
86,500,0.4,5,0,1,0,1,NA
87,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
88,500,0.4,5,0.125,0.001,0.125,0.001,NA
89,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
90,500,0.4,5,0.0625,0.031968031968032,0.0625,0.022977022977023,NA
91,500,0.4,5,0.0625,0.04995004995005,0.0625,0.025974025974026,NA
92,500,0.4,5,0.0625,0.023976023976024,0.0625,0.013986013986014,NA
93,500,0.4,5,0,1,0,1,NA
94,500,0.4,5,0.0625,0.0789210789210789,0.0625,0.0769230769230769,NA
95,500,0.4,5,0.0625,0.011988011988012,0.0625,0.00799200799200799,NA
96,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
97,500,0.4,5,0.0625,0.021978021978022,0.0625,0.034965034965035,NA
98,500,0.4,5,0.0625,0.013986013986014,0.0625,0.023976023976024,NA
99,500,0.4,5,0.0625,0.027972027972028,0.0625,0.020979020979021,NA
100,500,0.4,5,0.0625,0.022977022977023,0.0625,0.02997002997003,NA
101,500,0.4,5,0,1,0,1,NA
102,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
103,500,0.4,5,0.0625,0.035964035964036,0.0625,0.025974025974026,NA
104,500,0.4,5,0.0625,0.030969030969031,0.0625,0.027972027972028,NA
105,500,0.4,5,0.0625,0.044955044955045,0.0625,0.035964035964036,NA
106,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
107,500,0.4,5,0.0625,0.011988011988012,0.0625,0.014985014985015,NA
108,500,0.4,5,0.0625,0.01998001998002,0.0625,0.012987012987013,NA
109,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
110,500,0.4,5,0.0625,0.014985014985015,0.0625,0.015984015984016,NA
111,500,0.4,5,0.0625,0.027972027972028,0.0625,0.02997002997003,NA
112,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
113,500,0.4,5,0.0625,0.012987012987013,0.0625,0.014985014985015,NA
114,500,0.4,5,0.0625,0.00799200799200799,0.0625,0.010989010989011,NA
115,500,0.4,5,0,1,0,1,NA
116,500,0.4,5,0,1,0,1,NA
117,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
118,500,0.4,5,0,1,0,1,NA
119,500,0.4,5,0.0625,0.0579420579420579,0.0625,0.048951048951049,NA
120,500,0.4,5,0.0625,0.043956043956044,0.0625,0.03996003996004,NA
121,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
122,500,0.4,5,0.0625,0.015984015984016,0.0625,0.017982017982018,NA
123,500,0.4,5,0.0625,0.020979020979021,0.0625,0.014985014985015,NA
124,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
125,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
126,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
